ID,PROB
65469,0.007598244132651196
65470,0.0010557574377127452
65471,0.001084634072203491
65472,0.016059082927890184
65473,0.0015827010259779099
65474,0.005072416974540659
65475,0.009201086297175547
65476,0.0032854845254548827
65477,0.0010436392100689016
65478,0.0014740166829488506
65479,0.0015401886420820584
65480,0.0009479439962799463
65481,0.001690367141779173
65482,0.0013245588472905506
65483,0.0014694104068339836
65484,0.0019023873169723166
65485,0.005002277444141195
65486,0.004178248394792468
65487,0.004741915136615254
65488,0.007659775353533274
65489,0.0015009482743710764
65490,0.0013566357582068089
65491,0.00212661846841947
65492,0.0034931570745561874
65493,0.0013953127254710948
65494,0.003515437364169963
65495,0.04953825976051383
65496,0.0010956898602806817
65497,0.0040940404615177825
65498,0.0018118391432543567
65499,0.0037981318237741745
65500,0.02975906543560215
65501,0.0029274356562162263
65502,0.001519552811073896
65503,0.010052310648526255
65504,0.0014311307133969059
65505,0.0018762906586622017
65506,0.0022203620308234254
65507,0.0013839851910111677
65508,0.003130271679224742
65509,0.0017952370836553059
65510,0.003924693138514811
65511,0.005700835926362754
65512,0.00449386576115751
65513,0.07268809526132622
65514,0.003197684098521526
65515,0.06918379183891372
65516,0.0025649332927197618
65517,0.0012317897431885555
65518,0.002483596036293234
65519,0.000922220674666566
65520,0.001659850767227983
65521,0.0028480748901896173
65522,0.004559327732956529
65523,0.002138205555780948
65524,0.007331889738231095
65525,0.004468502092444784
65526,0.010354314251146723
65527,0.0031009606289185217
65528,0.019490654926333232
65529,0.0026532098839273707
65530,0.0014298388184347277
65531,0.006187326419998147
65532,0.009899761464023013
65533,0.0038738633616153205
65534,0.002514065961218079
65535,0.004169867779263052
65536,0.0022332739573195184
65537,0.0013277498960142828
65538,0.0023477878554632762
65539,0.0029009449219225946
65540,0.002965091892681124
65541,0.00396786757000488
65542,0.0011910802211795909
65543,0.0029710145206943077
65544,0.003560659936745988
65545,0.002875064657526906
65546,0.002416071177661038
65547,0.003156272473254499
65548,0.0025308602727619443
65549,0.0008253244694978323
65550,0.0032119815207714824
65551,0.002243570798766385
65552,0.0009593762676331353
65553,0.0027515551340993698
65554,0.005328936278489385
65555,0.01931489960535748
65556,0.0025743085683065763
65557,0.03786874516556193
65558,0.0019477486837962948
65559,0.0010366668802118224
65560,0.002088256205462194
65561,0.005018657268457131
65562,0.0013599462045227673
65563,0.00287763215747691
65564,0.00172818268676179
65565,0.0011269927165108115
65566,0.0018146934729794714
65567,0.0011890311716402824
65568,0.03491901509916137
65569,0.0023829462763072106
65570,0.0012669356094773324
65571,0.0059974257474383315
65572,0.004048489955490258
65573,0.005032325146245822
65574,0.003825059627536323
65575,0.0016958784260791687
65576,0.002879794760353152
65577,0.010274120015713645
65578,0.0038259754588739468
65579,0.001687293276212593
65580,0.00588155472608495
65581,0.0013484466931698786
65582,0.0013281609847448092
65583,0.0009134212436429036
65584,0.0014239625963482596
65585,0.0015371494355892895
65586,0.0033123204663798706
65587,0.0010023886514849102
65588,0.010273964096577047
